unit,sex,age,nace_r2,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
PC,F,Y15-64,B-F,UK	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	0.5 bu
PC,F,Y15-64,G-I,AT	1.2 	1.8 	1.8 	1.5 	1.6 	1.6 	1.5 	1.6 	1.5 	1.5 	1.8 b
PC,F,Y15-64,G-I,BE	9.6 	8.3 b	7.0 	5.6 	5.1 	4.6 	5.2 	5.9 	4.0 	4.7 	4.3 b
PC,F,Y15-64,G-I,BG	: u	: u	: u	: u	: u	: u	: u	: bu	: bu	: u	: bu
PC,F,Y15-64,G-I,CH	1.8 	1.8 	1.6 	1.8 	1.4 	1.4 	1.4 	1.4 	1.6 b	0.9 u	1.2 bu
PC,F,Y15-64,G-I,CY	: u	1.1 u	1.0 u	1.3 u	: u	: u	: u	: u	: u	: bu	: bu
PC,F,Y15-64,G-I,CZ	0.8 	0.8 	0.7 	1.1 	0.9 	0.9 	1.2 	1.0 b	1.1 	0.9 	0.9 b
PC,F,Y15-64,G-I,DE	0.5 	0.6 	0.7 	0.8 	0.7 	0.7 	0.6 	0.9 	0.8 b	1.0 	0.9 b
PC,F,Y15-64,G-I,DK	1.5 u	1.4 bu	2.4 b	1.1 u	1.2 u	1.2 u	1.1 u	1.4 u	0.9 u	1.3 u	1.4 bu
PC,F,Y15-64,G-I,EA19	3.8 	3.8 	3.5 	3.4 	3.3 	3.1 	3.2 	3.3 	3.2 	3.0 	3.3 b
PC,F,Y15-64,G-I,EE	2.1 u	2.3 u	2.4 u	2.1 u	2.2 u	: u	: u	2.0 u	: u	: u	: bu
PC,F,Y15-64,G-I,EL	1.3 	1.4 	1.8 	1.8 	2.1 	1.9 	1.8 	1.5 	1.6 	1.0 bu	0.9 bu
PC,F,Y15-64,G-I,ES	7.1 	7.7 	7.3 	7.1 	7.3 	7.1 	6.8 	6.9 	7.1 	6.6 b	7.5 b
PC,F,Y15-64,G-I,EU15	3.3 	3.3 	3.1 	3.0 	3.0 	2.8 	2.9 	3.0 	2.9 	2.8 	3.0 b
PC,F,Y15-64,G-I,EU27_2020	3.7 	3.7 	3.6 	3.5 	3.4 	3.2 	3.3 	3.4 	3.3 	3.0 	3.4 b
PC,F,Y15-64,G-I,EU28	3.3 	3.3 	3.2 	3.2 	3.0 	2.9 	2.9 	3.0 	2.9 	2.7 	3.0 b
PC,F,Y15-64,G-I,FI	5.7 	5.5 	5.7 	5.5 	4.9 	5.2 	5.4 	5.0 	5.5 b	4.3 	4.6 b
PC,F,Y15-64,G-I,FR	6.3 	5.9 	5.4 	5.4 	5.4 b	5.1 	5.7 	5.9 	5.4 	4.9 	5.6 b
PC,F,Y15-64,G-I,HR	11.5 	10.4 	12.5 	12.4 	9.1 b	6.0 	8.8 	8.6 	7.8 	5.7 	4.4 bu
PC,F,Y15-64,G-I,HU	2.0 	2.1 	2.4 	2.9 	2.9 	3.4 	2.8 	3.2 	4.3 	3.6 	3.8 b
PC,F,Y15-64,G-I,IE	2.8 	2.0 b	1.6 	1.6 	1.4 u	1.6 	1.6 	1.3 u	1.3 u	1.1 u	1.4 b
PC,F,Y15-64,G-I,IS	5.7 	4.0 	5.5 	5.4 	6.2 	6.8 	7.0 	5.6 	4.4 	4.6 	5.4 b
PC,F,Y15-64,G-I,IT	5.9 	5.7 	4.6 	4.0 	3.9 	3.5 	3.6 	3.3 	3.5 	3.1 	3.5 b
PC,F,Y15-64,G-I,LT	1.4 u	0.9 u	1.0 u	1.1 u	1.1 u	1.3 u	: u	: u	: u	: u	: bu
PC,F,Y15-64,G-I,LU	3.6 u	: u	: u	: bu	: c	: u	: u	: u	: u	: bu	: bu
PC,F,Y15-64,G-I,LV	1.4 u	1.4 u	1.7 u	1.6 u	: u	1.6 u	1.9 u	: u	: u	: u	1.5 b
PC,F,Y15-64,G-I,ME	13.0 	14.6 	14.2 	13.0 	15.3 	8.9 	7.1 	5.1 u	: 	: 	: 
PC,F,Y15-64,G-I,MK	4.2 	5.6 	4.7 	3.7 	5.3 	3.2 	3.2 	2.6 	: 	: 	: 
PC,F,Y15-64,G-I,MT	: u	: u	: u	: u	: u	: u	2.4 u	: u	: u	: u	: bu
PC,F,Y15-64,G-I,NL	1.7 	1.9 	1.6 	1.6 	1.5 	1.4 b	1.2 	1.2 	1.5 	1.5 	1.5 b
PC,F,Y15-64,G-I,NO	: u	: u	1.0 	0.7 	0.7 	0.6 u	1.2 	0.9 	1.2 	0.9 u	1.1 b
PC,F,Y15-64,G-I,PL	5.9 	5.8 	6.2 	6.3 	6.2 	5.7 	5.7 	5.2 	5.4 b	4.3 	6.1 b
PC,F,Y15-64,G-I,PT	3.7 	3.6 	3.5 	4.1 	3.8 	4.4 	3.5 	3.5 b	1.4 	1.2 	1.1 b
PC,F,Y15-64,G-I,RO	: u	: u	: u	: u	: u	: u	: u	: u	: bu	: u	: bu
PC,F,Y15-64,G-I,RS	10.6 	12.1 	10.9 	8.4 	4.9 b	5.0 	3.3 u	2.9 u	2.6 u	: 	: 
PC,F,Y15-64,G-I,SE	6.0 b	6.1 	7.0 	7.7 	8.5 	8.2 	9.4 	8.8 	9.0 	9.6 	9.8 b
PC,F,Y15-64,G-I,SI	7.8 	7.5 	7.3 	7.6 	7.2 	7.1 	7.5 	8.3 	8.5 	7.5 	8.0 b
PC,F,Y15-64,G-I,SK	1.7 	1.8 	3.3 	4.3 	2.6 	1.3 	1.5 	1.2 bu	1.4 	1.3 b	1.5 b
